,date,Uber,metroid
576,2020-08-09,75,US-CO-751
577,2020-08-16,75,US-CO-751
578,2020-08-23,73,US-CO-751
579,2020-08-30,43,US-CO-751
580,2020-09-06,63,US-CO-751
581,2020-09-13,80,US-CO-751
582,2020-09-20,70,US-CO-751
583,2020-09-27,65,US-CO-751
584,2020-10-04,71,US-CO-751
585,2020-10-11,47,US-CO-751
586,2020-10-18,68,US-CO-751
587,2020-10-25,73,US-CO-751
588,2020-11-01,57,US-CO-751
589,2020-11-08,35,US-CO-751
590,2020-11-15,71,US-CO-751
591,2020-11-22,59,US-CO-751
592,2020-11-29,65,US-CO-751
593,2020-12-06,72,US-CO-751
594,2020-12-13,70,US-CO-751
595,2020-12-20,78,US-CO-751
596,2020-12-27,60,US-CO-751
597,2021-01-03,70,US-CO-751
598,2021-01-10,64,US-CO-751
599,2021-01-17,71,US-CO-751
600,2021-01-24,64,US-CO-751
601,2021-01-31,66,US-CO-751
602,2021-02-07,49,US-CO-751
603,2021-02-14,75,US-CO-751
604,2021-02-21,82,US-CO-751
605,2021-02-28,54,US-CO-751
606,2021-03-07,56,US-CO-751
607,2021-03-14,93,US-CO-751
608,2021-03-21,51,US-CO-751
609,2021-03-28,100,US-CO-751
610,2021-04-04,71,US-CO-751
611,2021-04-11,59,US-CO-751
612,2021-04-18,98,US-CO-751
613,2021-04-25,76,US-CO-751
614,2021-05-02,70,US-CO-751
615,2021-05-09,69,US-CO-751
616,2021-05-16,89,US-CO-751
617,2021-05-23,95,US-CO-751
618,2021-05-30,78,US-CO-751
619,2021-06-06,74,US-CO-751
620,2021-06-13,74,US-CO-751
621,2021-06-20,79,US-CO-751
622,2021-06-27,74,US-CO-751
623,2021-07-04,59,US-CO-751
624,2021-07-11,97,US-CO-751
625,2021-07-18,96,US-CO-751
626,2021-07-25,74,US-CO-751
627,2021-08-01,71,US-CO-751
628,2021-08-08,97,US-CO-751
629,2021-08-15,78,US-CO-751
630,2021-08-22,91,US-CO-751
631,2021-08-29,83,US-CO-751
632,2020-03-01,69,US-WA-819
633,2020-03-08,62,US-WA-819
634,2020-03-15,100,US-WA-819
635,2020-03-22,80,US-WA-819
636,2020-03-29,80,US-WA-819
637,2020-04-05,82,US-WA-819
638,2020-04-12,70,US-WA-819
639,2020-04-19,66,US-WA-819
640,2020-04-26,64,US-WA-819
641,2020-05-03,82,US-WA-819
642,2020-05-10,54,US-WA-819
643,2020-05-17,65,US-WA-819
644,2020-05-24,39,US-WA-819
645,2020-05-31,49,US-WA-819
646,2020-06-07,48,US-WA-819
647,2020-06-14,65,US-WA-819
648,2020-06-21,64,US-WA-819
649,2020-06-28,53,US-WA-819
650,2020-07-05,57,US-WA-819
651,2020-07-12,71,US-WA-819
652,2020-07-19,60,US-WA-819
653,2020-07-26,57,US-WA-819
654,2020-08-02,67,US-WA-819
655,2020-08-09,63,US-WA-819
656,2020-08-16,87,US-WA-819
657,2020-08-23,71,US-WA-819
658,2020-08-30,50,US-WA-819
659,2020-09-06,46,US-WA-819
660,2020-09-13,47,US-WA-819
661,2020-09-20,61,US-WA-819
662,2020-09-27,34,US-WA-819
663,2020-10-04,41,US-WA-819
664,2020-10-11,42,US-WA-819
665,2020-10-18,50,US-WA-819
666,2020-10-25,35,US-WA-819
667,2020-11-01,54,US-WA-819
668,2020-11-08,53,US-WA-819
669,2020-11-15,61,US-WA-819
670,2020-11-22,48,US-WA-819
671,2020-11-29,41,US-WA-819
672,2020-12-06,59,US-WA-819
673,2020-12-13,52,US-WA-819
674,2020-12-20,65,US-WA-819
675,2020-12-27,65,US-WA-819
676,2021-01-03,52,US-WA-819
677,2021-01-10,60,US-WA-819
678,2021-01-17,47,US-WA-819
679,2021-01-24,57,US-WA-819
680,2021-01-31,54,US-WA-819
681,2021-02-07,55,US-WA-819
682,2021-02-14,63,US-WA-819
683,2021-02-21,61,US-WA-819
684,2021-02-28,35,US-WA-819
685,2021-03-07,49,US-WA-819
686,2021-03-14,62,US-WA-819
687,2021-03-21,49,US-WA-819
688,2021-03-28,63,US-WA-819
689,2021-04-04,64,US-WA-819
690,2021-04-11,68,US-WA-819
691,2021-04-18,52,US-WA-819
692,2021-04-25,58,US-WA-819
693,2021-05-02,55,US-WA-819
694,2021-05-09,45,US-WA-819
695,2021-05-16,59,US-WA-819
696,2021-05-23,55,US-WA-819
697,2021-05-30,61,US-WA-819
698,2021-06-06,79,US-WA-819
699,2021-06-13,59,US-WA-819
700,2021-06-20,78,US-WA-819
701,2021-06-27,76,US-WA-819
702,2021-07-04,70,US-WA-819
703,2021-07-11,61,US-WA-819
704,2021-07-18,45,US-WA-819
705,2021-07-25,47,US-WA-819
706,2021-08-01,64,US-WA-819
707,2021-08-08,58,US-WA-819
708,2021-08-15,46,US-WA-819
709,2021-08-22,55,US-WA-819
710,2021-08-29,60,US-WA-819
711,2020-03-01,92,US-IL-602
712,2020-03-08,76,US-IL-602
713,2020-03-15,100,US-IL-602
714,2020-03-22,92,US-IL-602
715,2020-03-29,70,US-IL-602
716,2020-04-05,77,US-IL-602
717,2020-04-12,72,US-IL-602
718,2020-04-19,56,US-IL-602
719,2020-04-26,67,US-IL-602
720,2020-05-03,71,US-IL-602
721,2020-05-10,69,US-IL-602
722,2020-05-17,71,US-IL-602
723,2020-05-24,65,US-IL-602
724,2020-05-31,65,US-IL-602
725,2020-06-07,56,US-IL-602
726,2020-06-14,59,US-IL-602
727,2020-06-21,63,US-IL-602
728,2020-06-28,66,US-IL-602
729,2020-07-05,72,US-IL-602
730,2020-07-12,66,US-IL-602
731,2020-07-19,58,US-IL-602
732,2020-07-26,58,US-IL-602
733,2020-08-02,54,US-IL-602
734,2020-08-09,59,US-IL-602
735,2020-08-16,59,US-IL-602
736,2020-08-23,55,US-IL-602
737,2020-08-30,51,US-IL-602
738,2020-09-06,48,US-IL-602
739,2020-09-13,56,US-IL-602
740,2020-09-20,51,US-IL-602
741,2020-09-27,61,US-IL-602
742,2020-10-04,56,US-IL-602
743,2020-10-11,66,US-IL-602
744,2020-10-18,49,US-IL-602
745,2020-10-25,60,US-IL-602
746,2020-11-01,57,US-IL-602
747,2020-11-08,61,US-IL-602
748,2020-11-15,64,US-IL-602
749,2020-11-22,57,US-IL-602
750,2020-11-29,55,US-IL-602
751,2020-12-06,55,US-IL-602
752,2020-12-13,58,US-IL-602
753,2020-12-20,52,US-IL-602
754,2020-12-27,54,US-IL-602
755,2021-01-03,47,US-IL-602
756,2021-01-10,61,US-IL-602
757,2021-01-17,54,US-IL-602
758,2021-01-24,51,US-IL-602
759,2021-01-31,77,US-IL-602
760,2021-02-07,73,US-IL-602
761,2021-02-14,64,US-IL-602
762,2021-02-21,60,US-IL-602
763,2021-02-28,52,US-IL-602
764,2021-03-07,52,US-IL-602
765,2021-03-14,69,US-IL-602
766,2021-03-21,59,US-IL-602
767,2021-03-28,69,US-IL-602
768,2021-04-04,69,US-IL-602
769,2021-04-11,45,US-IL-602
770,2021-04-18,62,US-IL-602
771,2021-04-25,65,US-IL-602
772,2021-05-02,51,US-IL-602
773,2021-05-09,52,US-IL-602
774,2021-05-16,62,US-IL-602
